 , , , , , , , ,ACTURAL, , , , , , , , , , , , , , , , , ,COMMAND, , , , , , , , , 
acs1,acs2,acs3,acs4,acs5,acs6,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,current1,current2,current3,current4,current5,current6,acs1,acs2,acs3,acs4,acs5,acs6,pcs1,pcs2,pcs3,pcs4,pcs5,pcs6,current1,current2,current3,current4,current5,current6
0.729938,0.114106,90.2791,-0.211133,89.5894,1.5079,420.009,4.66937,413.793,-179.795,0.251083,179.224,0.642933,1.52092,-0.924156,-0.361677,-0.102327,0.30329,0.982042,0.149169,90.3721,-0.284542,89.4554,2.01411,420,6.12161,413.411,-179.734,0.322968,178.997,0.0127398,0.00199152,1.57567,-0.00368497,1.56363,0.0263178
0.806625,0.124494,90.3068,-0.233269,89.5492,1.6585,420.008,5.16013,413.666,-179.775,0.275148,179.15,0.639059,1.50482,-0.862922,-0.387621,-0.0196068,0.322769,1.0862,0.163638,90.4102,-0.315587,89.3987,2.22753,420,6.77407,413.241,-179.706,0.357664,178.89,0.0140783,0.00217282,1.57615,-0.00407131,1.56293,0.0289463
0.916896,0.139341,90.3484,-0.266527,89.4901,1.89305,420.004,5.86119,413.471,-179.744,0.309481,179.026,0.682668,1.55052,-0.810649,-0.415852,0.0158819,0.347154,1.22652,0.18272,90.4611,-0.357668,89.3226,2.51498,420,7.6528,413.013,-179.668,0.404476,178.746,0.0160029,0.00243197,1.57688,-0.00465178,1.5619,0.0330399
1.04169,0.157289,90.3946,-0.302396,89.4245,2.14361,419.994,6.66019,413.265,-179.71,0.349277,178.901,0.693509,1.62409,-0.808173,-0.448397,-0.0465943,0.356132,1.37853,0.202866,90.5157,-0.403589,89.2405,2.82633,420,8.60441,412.766,-179.627,0.455276,178.59,0.0181809,0.00274522,1.57768,-0.00527781,1.56075,0.0374131
1.14867,0.171757,90.4351,-0.335464,89.3644,2.36149,419.996,7.33791,413.075,-179.68,0.385753,178.791,0.714851,1.6271,-0.846313,-0.481705,-0.149809,0.340879,1.50889,0.219704,90.5621,-0.443242,89.1705,3.09327,420,9.42013,412.554,-179.593,0.498909,178.457,0.0200481,0.00299772,1.57839,-0.00585495,1.5597,0.0412158
1.2826,0.189188,90.4851,-0.375112,89.2875,2.63672,420.007,8.19227,412.838,-179.644,0.43341,178.651,0.727803,1.61884,-0.941098,-0.522632,-0.227799,0.327686,1.68319,0.24159,90.6235,-0.496658,89.0774,3.45012,420,10.5103,412.271,-179.546,0.557347,178.278,0.0223856,0.00330195,1.57926,-0.00654695,1.55836,0.0460194
1.44443,0.210916,90.5423,-0.424796,89.201,2.9709,420.005,9.2187,412.58,-179.6,0.489047,178.479,0.765955,1.66288,-1.06433,-0.533848,-0.122086,0.339143,1.90966,0.268952,90.7022,-0.566729,88.9572,3.91366,420,11.9256,411.904,-179.487,0.633433,178.047,0.0252101,0.00368117,1.58026,-0.00741408,1.55685,0.0518521
1.60539,0.230142,90.5973,-0.475131,89.1182,3.30455,420.005,10.2368,412.32,-179.555,0.541201,178.308,0.828271,1.70043,-1.06228,-0.522815,-0.0357031,0.355433,2.1134,0.29253,90.7719,-0.630404,88.8499,4.33057,420,13.1978,411.574,-179.433,0.702029,177.839,0.0280194,0.00401673,1.58122,-0.00829261,1.55541,0.0576752
1.77674,0.251407,90.6551,-0.527915,89.0295,3.65312,420.003,11.3233,412.054,-179.509,0.599273,178.133,0.884461,1.75009,-0.962166,-0.477347,-0.0898136,0.36884,2.33131,0.316668,90.8454,-0.69918,88.736,4.7764,420,14.5574,411.221,-179.376,0.775552,177.616,0.03101,0.00438789,1.58223,-0.00921385,1.55386,0.0637589
1.9675,0.273815,90.7203,-0.586545,88.9219,4.04351,420.028,12.5346,411.744,-179.459,0.671337,177.935,0.879309,1.77927,-0.857844,-0.42062,-0.173785,0.370778,2.5639,0.341185,90.9226,-0.773316,88.6153,5.25207,420,16.0073,410.844,-179.316,0.854184,177.38,0.0343394,0.00477898,1.58337,-0.0102371,1.55198,0.0705726
2.17415,0.295217,90.7927,-0.650614,88.8149,4.46203,420.024,13.8441,411.374,-179.405,0.736109,177.726,0.878705,1.8589,-0.809366,-0.421497,-0.115359,0.371891,2.81158,0.365789,91.0034,-0.8529,88.4881,5.7578,420,17.5504,410.444,-179.252,0.937933,177.128,0.0379461,0.0051525,1.58463,-0.0113553,1.55011,0.0778771
2.44775,0.324804,90.887,-0.737226,88.6784,5.02363,419.996,15.5718,410.905,-179.332,0.821002,177.441,0.878862,1.99572,-0.935707,-0.473985,-0.0678159,0.383664,3.12874,0.394976,91.1045,-0.955616,88.3272,6.40378,420,19.5267,409.931,-179.172,1.04503,176.808,0.0427213,0.00566889,1.58628,-0.012867,1.54773,0.087679
2.69434,0.350883,90.966,-0.817638,88.543,5.52814,420.026,17.1243,410.523,-179.267,0.916547,177.187,0.911601,2.05597,-1.04211,-0.507514,-0.151497,0.397805,3.40922,0.418651,91.1919,-1.04724,88.1868,6.97372,420,21.2746,409.477,-179.101,1.13966,176.526,0.0470251,0.00612406,1.58766,-0.0142705,1.54537,0.0964842
2.93678,0.375493,91.0415,-0.895794,88.4231,6.0182,420.019,18.6525,410.156,-179.205,0.999677,176.943,0.951967,2.02577,-0.989662,-0.462697,-0.110316,0.424781,3.70395,0.441397,91.2816,-1.14436,88.0409,7.57152,420,23.1112,409,-179.028,1.23904,176.232,0.0512564,0.00655359,1.58897,-0.0156345,1.54327,0.105037
3.27034,0.407228,91.1478,-1.00313,88.259,6.69288,419.995,20.756,409.618,-179.12,1.1103,176.608,0.985991,1.87002,-0.83458,-0.388665,-0.106456,0.434472,4.07585,0.467023,91.3919,-1.26814,87.8595,8.32444,420,25.4283,408.398,-178.937,1.36442,175.862,0.0570781,0.00710748,1.59083,-0.0175079,1.54041,0.116813
